Month,gymStatus,,Percentage
01/01/2019,Kept Membership,,100
01/02/2019,Kept Membership,,85
01/03/2019,Kept Membership,,77
01/04/2019,Kept Membership,,69
01/05/2019,Kept Membership,,62
01/06/2019,Kept Membership,,56
01/07/2019,Kept Membership,,51
01/08/2019,Kept Membership,,46
01/09/2019,Kept Membership,,41
01/10/2019,Kept Membership,,37
01/11/2019,Kept Membership,,33
01/12/2019,Kept Membership,,30
01/01/2019,Kept Going,,93
01/02/2019,Kept Going,,76
01/03/2019,Kept Going,,58
01/04/2019,Kept Going,,44
01/05/2019,Kept Going,,33
01/06/2019,Kept Going,,24
01/07/2019,Kept Going,,18
01/08/2019,Kept Going,,14
01/09/2019,Kept Going,,10
01/10/2019,Kept Going,,8
01/11/2019,Kept Going,,6
01/12/2019,Kept Going,,4
