Year,Age,pct
2010,10 to 18,6.1
2010,19 to 25,17.7
2010,26 to 49,17.9
2010,50 or Older,12.4
2011,10 to 18,6.7
2011,19 to 25,19.2
2011,26 to 49,19.3
2011,50 or Older,12.5
2012,10 to 18,7
2012,19 to 25,19.7
2012,26 to 49,19.8
2012,50 or Older,11.8
2013,10 to 18,7
2013,19 to 25,19.5
2013,26 to 49,22.2
2013,50 or Older,14
2014,10 to 18,6.9
2014,19 to 25,18.7
2014,26 to 49,21.5
2014,50 or Older,13.3
2015,10 to 18,7.7
2015,19 to 25,18.3
2015,26 to 49,20.3
2015,50 or Older,13.5
2016,10 to 18,7.2
2016,19 to 25,18.2
2016,26-49,19.2
2016,50 or Older,12.3
2017,10 to 18,6.5
2017,19 to 25,17.1
2017,26 to 49,19
2017,50 or Older,11.5
2018,10 to 18,8.2
2018,19 to 25,18.6
2018,26 to 49,20.7
2018,50 or Older,14
2019,10 to 18,8.2
2019,19 to 25,20.4
2019,26 to 49,21.7
2019,50 or Older,13
